"EntrezID" "Symbol" "A_1_L01_FlowCellA" "A_2_L01_FlowCellA" "A_3_L01_FlowCellA" "A_4_L01_FlowCellA" "A_5_L01_FlowCellA" "B_1_L01_FlowCellA" "B_2_L01_FlowCellA" "B_3_L01_FlowCellA" "B_4_L01_FlowCellA" "B_5_L01_FlowCellB"
"85" "83451" "ABHD11" 127 92 100 134 103 56 46 70 44 27
"86" "26090" "ABHD12" 395 377 355 474 321 691 619 725 482 380
"87" "145447" "ABHD12B" 5 2 4 2 3 16 18 17 12 17
"88" "84945" "ABHD13" 55 62 106 88 95 89 95 131 97 78
"91" "116236" "ABHD15" 74 48 62 75 55 13 12 23 14 15
"92" "11057" "ABHD2" 577 468 603 719 650 973 984 954 782 648
"93" "171586" "ABHD3" 129 122 156 180 174 47 56 57 43 41
"94" "63874" "ABHD4" 181 149 164 217 153 98 116 115 91 57
"95" "51099" "ABHD5" 112 108 110 154 137 96 99 112 92 95
"96" "57406" "ABHD6" 63 42 60 59 56 289 254 282 217 200
"97" "79575" "ABHD8" 113 86 94 87 89 483 478 508 378 253
"98" "10006" "ABI1" 221 186 214 238 252 376 334 404 292 271
"99" "10152" "ABI2" 399 355 428 549 454 1070 1039 1101 899 755
"100" "51225" "ABI3" 4 3 2 6 1 5 11 7 4 1
"101" "25890" "ABI3BP" 25 21 35 31 28 30 38 33 25 19
"102" "25" "ABL1" 834 692 814 964 719 409 400 391 290 267
"103" "27" "ABL2" 143 113 132 166 158 172 179 207 144 118
"104" "3983" "ABLIM1" 51 47 37 64 36 548 545 534 437 348
"105" "84448" "ABLIM2" 6 6 6 10 10 416 394 393 278 216
"106" "22885" "ABLIM3" 130 109 146 172 138 447 453 501 383 311
"107" "28" "ABO" 59 59 55 60 55 13 11 16 9 9
"108" "26" "ABP1" 0 4 2 4 5 0 0 0 0 0
"109" "29" "ABR" 182 159 171 207 186 825 816 784 638 471
"110" "137735" "ABRA" 0 0 1 0 0 5 1 2 1 1
"111" "29777" "ABT1" 160 138 162 206 181 88 97 70 54 44
"112" "80325" "ABTB1" 103 79 86 114 89 794 705 772 509 391
"113" "25841" "ABTB2" 87 69 103 97 75 90 99 105 59 53
"114" "30" "ACAA1" 204 188 210 222 178 236 232 233 165 138
"115" "31" "ACACA" 491 448 538 643 513 627 619 620 524 413
"116" "32" "ACACB" 71 53 58 75 78 170 174 175 107 107
"117" "80724" "ACAD10" 194 134 172 203 176 87 78 85 85 63
"118" "27034" "ACAD8" 182 149 203 228 172 280 256 293 194 152
"119" "28976" "ACAD9" 231 199 219 274 224 183 170 173 141 120
"120" "33" "ACADL" 0 1 2 4 1 6 8 9 8 6
"122" "35" "ACADS" 109 84 107 116 86 85 68 77 50 39
"123" "36" "ACADSB" 226 176 239 251 222 264 287 306 227 215
"124" "37" "ACADVL" 1043 843 1010 1285 1015 718 689 707 574 416
"125" "176" "ACAN" 1 1 6 8 4 14 19 21 13 12
"127" "23527" "ACAP2" 254 226 312 335 352 293 255 328 249 213
"128" "116983" "ACAP3" 638 497 550 613 419 1935 1960 1989 1476 1033
"129" "38" "ACAT1" 320 285 353 424 399 187 200 227 140 128
"130" "39" "ACAT2" 328 294 379 411 386 174 145 176 121 116
"131" "64746" "ACBD3" 235 204 281 325 336 181 170 205 154 133
"132" "79777" "ACBD4" 104 76 94 98 86 117 121 117 85 66
"133" "91452" "ACBD5" 156 129 150 188 176 288 265 331 258 217
"134" "84320" "ACBD6" 216 204 230 245 223 114 113 95 83 83
"135" "414149" "ACBD7" 36 31 42 40 42 223 266 288 187 208
"140" "84680" "ACCS" 91 67 87 107 81 34 27 22 20 14
"141" "390110" "ACCSL" 0 0 1 0 0 0 0 0 0 0
"142" "65057" "ACD" 236 170 202 208 175 184 177 192 134 119
"143" "59272" "ACE2" 2 2 5 2 4 1 0 1 0 0
"145" "125981" "ACER1" 0 0 0 0 0 1 0 0 0 0
"146" "340485" "ACER2" 12 11 8 12 4 22 21 27 15 18
"147" "55331" "ACER3" 138 110 158 195 178 231 302 306 228 202
"148" "43" "ACHE" 12 6 13 13 12 281 308 293 199 176
"149" "22985" "ACIN1" 1205 992 1178 1416 1155 671 663 743 515 391
"150" "47" "ACLY" 1541 1310 1617 1856 1602 663 705 722 504 488
"151" "130013" "ACMSD" 0 1 0 0 2 0 6 0 1 1
"152" "57001" "ACN9" 74 70 81 109 109 34 30 34 22 30
"153" "48" "ACO1" 306 258 335 402 354 173 153 189 132 118
"154" "50" "ACO2" 266 257 271 319 234 663 683 741 548 413
"155" "641371" "ACOT1" 38 37 44 45 26 41 28 47 34 16
"157" "134526" "ACOT12" 0 1 1 1 0 0 0 1 1 0
"158" "55856" "ACOT13" 68 65 59 78 92 49 37 56 29 32
"159" "10965" "ACOT2" 114 88 117 159 140 59 51 63 54 34
"160" "122970" "ACOT4" 9 10 12 11 5 20 20 23 13 9
"161" "641372" "ACOT6" 0 0 0 0 0 1 2 1 1 0
"162" "11332" "ACOT7" 367 285 335 367 308 630 665 609 435 356
"163" "10005" "ACOT8" 89 47 64 82 66 102 101 107 79 80
"164" "23597" "ACOT9" 185 104 183 187 190 78 74 79 48 53
"165" "51" "ACOX1" 266 200 248 274 274 305 283 276 222 202
"166" "8309" "ACOX2" 38 28 21 34 27 17 21 21 13 9
"167" "8310" "ACOX3" 90 52 65 94 73 65 70 69 60 36
"168" "55289" "ACOXL" 7 9 3 8 4 5 2 4 4 2
"169" "52" "ACP1" 487 455 553 624 570 283 247 324 243 189
"170" "53" "ACP2" 108 96 110 130 95 121 122 126 96 70
"171" "54" "ACP5" 50 41 66 68 46 4 0 2 8 2
"172" "51205" "ACP6" 113 102 120 125 107 39 33 31 42 23
"173" "92370" "ACPL2" 141 101 147 168 141 100 86 116 96 57
"174" "55" "ACPP" 3 3 2 9 3 1 0 2 2 0
"175" "93650" "ACPT" 0 0 1 3 2 0 0 0 1 1
"176" "49" "ACR" 1 0 0 0 0 2 3 1 2 1
"178" "93953" "ACRC" 11 8 13 18 7 24 21 12 21 7
"179" "56" "ACRV1" 5 6 5 5 8 4 5 3 0 2
"180" "23205" "ACSBG1" 11 8 9 8 4 176 193 192 123 105
"181" "81616" "ACSBG2" 1 2 1 1 1 0 6 4 3 2
"182" "80221" "ACSF2" 182 128 165 195 167 122 109 114 66 63
"183" "197322" "ACSF3" 213 184 198 240 200 134 132 124 96 74
"184" "2180" "ACSL1" 172 152 202 217 157 413 331 407 343 259
"185" "2181" "ACSL3" 801 727 907 1065 1006 798 761 912 726 644
"187" "51703" "ACSL5" 104 96 110 132 100 90 72 77 61 56
"188" "23305" "ACSL6" 5 3 9 6 5 851 878 1010 724 681
"189" "116285" "ACSM1" 6 5 8 5 5 2 1 3 1 1
"190" "123876" "ACSM2A" 9 5 7 10 5 0 0 0 0 0
"191" "348158" "ACSM2B" 4 8 8 7 8 0 0 0 0 0
"192" "6296" "ACSM3" 349 299 377 459 383 0 3 0 1 4
"193" "341392" "ACSM4" 1 4 3 1 1 1 1 1 3 0
"194" "54988" "ACSM5" 2 3 1 8 1 11 10 10 5 6
"195" "84532" "ACSS1" 210 171 210 208 199 397 359 408 262 219
"196" "55902" "ACSS2" 328 263 339 402 354 246 235 246 203 157
"197" "79611" "ACSS3" 83 73 93 119 120 65 67 89 56 55
"198" "58" "ACTA1" 10 6 4 5 7 6 4 10 2 2
"199" "59" "ACTA2" 36 22 33 28 33 122 153 153 143 84
"200" "60" "ACTB" 18758 15798 18480 21870 17419 11857 11348 11903 9150 6878
"201" "345651" "ACTBL2" 2 0 0 0 2 0 0 0 0 0
"202" "644220" "ACTBP11" 1 1 0 1 1 1 0 1 0 0
"203" "62" "ACTBP2" 183 145 128 157 128 101 92 75 60 45
"204" "64" "ACTBP4" 0 0 0 0 0 1 0 0 0 0
"205" "67" "ACTBP7" 0 0 0 1 0 0 1 1 0 0
"206" "68" "ACTBP8" 5 4 5 4 10 0 4 0 1 0
"207" "70" "ACTC1" 1 4 5 10 1 5 8 14 8 5
"208" "71" "ACTG1" 14853 12340 14715 17248 14234 5441 5145 5386 4211 3125
"209" "73" "ACTG1P1" 14 16 12 18 9 9 16 10 5 7
"210" "414754" "ACTG1P11" 3 1 1 1 1 0 0 1 1 0
"211" "74" "ACTG1P2" 0 0 0 0 0 0 0 0 0 0
"212" "75" "ACTG1P3" 2 0 3 2 2 0 1 3 0 1
"213" "82" "ACTG1P9" 4 0 2 4 1 1 0 1 0 2
"214" "72" "ACTG2" 24 26 30 35 25 19 14 13 10 10
"215" "86" "ACTL6A" 256 215 282 328 296 46 35 39 30 31
"216" "51412" "ACTL6B" 0 0 0 1 1 258 322 298 239 200
"217" "10881" "ACTL7A" 0 0 0 0 0 0 0 0 0 0
"218" "10880" "ACTL7B" 0 0 0 0 0 0 0 0 0 0
"219" "81569" "ACTL8" 24 21 20 31 22 0 0 1 0 0
"220" "284382" "ACTL9" 0 0 0 0 0 0 0 0 0 0
"221" "87" "ACTN1" 1409 1160 1442 1684 1294 644 628 624 446 356
"222" "88" "ACTN2" 12 7 10 10 5 330 328 333 239 214
"223" "89" "ACTN3" 3 1 0 2 2 1 5 2 2 0
"224" "81" "ACTN4" 1709 1311 1652 1854 1411 915 816 921 662 519
"225" "55860" "ACTR10" 177 135 177 218 240 359 322 354 307 232
"226" "10121" "ACTR1A" 205 179 258 286 240 466 455 477 360 273
"227" "10120" "ACTR1B" 465 335 425 489 389 821 781 809 574 454
"228" "10097" "ACTR2" 1099 949 1221 1390 1442 1163 1136 1306 999 925
"229" "10096" "ACTR3" 572 497 725 786 755 402 403 415 329 305
"230" "57180" "ACTR3B" 81 48 61 88 97 209 166 206 153 101
"231" "440888" "ACTR3BP2" 0 0 0 0 0 0 0 0 0 0
"232" "399746" "ACTR3BP5" 0 0 0 0 0 0 0 0 0 0
"233" "644773" "ACTR3BP6" 0 0 0 0 0 0 0 0 0 0
"234" "653857" "ACTR3C" 12 14 14 19 14 16 18 20 8 11
"235" "79913" "ACTR5" 89 68 112 119 74 69 42 39 38 32
"236" "64431" "ACTR6" 113 83 124 145 118 168 168 208 151 134
"237" "93973" "ACTR8" 125 86 149 149 140 121 130 123 90 88
"238" "139741" "ACTRT1" 0 0 0 0 0 0 0 0 0 0
"239" "140625" "ACTRT2" 0 0 0 0 0 0 0 0 0 0
"240" "90" "ACVR1" 88 90 95 113 93 89 87 90 79 66
"241" "91" "ACVR1B" 145 111 144 158 136 444 377 416 322 241
"242" "130399" "ACVR1C" 8 10 3 16 14 68 81 99 71 61
"243" "92" "ACVR2A" 43 33 34 34 46 99 100 124 94 92
"244" "93" "ACVR2B" 253 250 285 380 304 155 156 159 133 107
"245" "94" "ACVRL1" 10 9 13 7 6 82 97 78 68 45
"246" "91703" "ACY3" 7 13 10 10 9 10 9 15 13 4
"247" "97" "ACYP1" 86 68 81 102 110 79 79 101 65 70
"248" "98" "ACYP2" 20 23 35 37 30 166 176 198 135 125
"249" "100" "ADA" 466 370 440 497 391 29 26 29 20 22
"250" "132612" "ADAD1" 0 0 0 0 0 0 0 0 0 0
"251" "161931" "ADAD2" 1 1 1 1 1 6 4 1 6 3
"252" "161823" "ADAL" 75 61 73 101 73 59 67 66 46 36
"254" "102" "ADAM10" 595 524 718 825 810 371 347 447 348 317
"255" "4185" "ADAM11" 42 47 40 41 32 956 918 978 659 525
"256" "8038" "ADAM12" 118 99 123 119 125 23 14 26 14 10
"257" "8751" "ADAM15" 747 613 666 871 668 438 411 423 348 209
"258" "6868" "ADAM17" 128 120 130 160 150 90 82 113 71 60
"259" "8749" "ADAM18" 0 0 0 0 0 0 0 0 0 0
"260" "8728" "ADAM19" 48 49 67 86 44 101 102 100 92 62
"261" "2515" "ADAM2" 1 1 2 2 2 0 0 0 0 0
"262" "8748" "ADAM20" 2 0 0 0 0 0 2 0 1 0
"263" "8747" "ADAM21" 3 2 1 3 1 4 4 5 1 2
"264" "145241" "ADAM21P1" 0 0 0 0 1 1 3 0 0 0
"265" "53616" "ADAM22" 23 29 36 53 38 434 431 463 320 308
"266" "8745" "ADAM23" 149 147 212 196 189 569 658 732 522 433
"267" "10863" "ADAM28" 8 3 7 7 4 26 28 24 20 13
"268" "11086" "ADAM29" 0 0 0 0 0 1 1 0 1 0
"269" "11085" "ADAM30" 0 0 0 0 0 0 0 0 0 0
"270" "203102" "ADAM32" 3 3 2 7 7 6 20 23 12 10
"271" "80332" "ADAM33" 38 35 36 32 16 56 42 60 41 38
"272" "1587" "ADAM3A" 0 0 0 0 0 0 0 0 0 0
"274" "8755" "ADAM6" 0 0 0 0 0 0 0 0 0 0
"275" "8756" "ADAM7" 0 0 0 0 0 0 0 1 0 0
"276" "101" "ADAM8" 33 20 18 39 19 28 20 23 18 15
"277" "8754" "ADAM9" 516 417 553 677 718 268 264 323 231 232
"278" "27299" "ADAMDEC1" 0 0 0 0 0 0 0 0 0 0
"279" "9510" "ADAMTS1" 437 346 491 505 461 262 286 321 241 205
"280" "81794" "ADAMTS10" 52 32 47 38 24 116 114 120 92 62
"281" "81792" "ADAMTS12" 26 20 37 38 25 3 0 2 3 0
"283" "140766" "ADAMTS14" 148 109 110 131 102 53 63 65 32 32
"284" "170689" "ADAMTS15" 53 33 44 47 48 2 6 3 6 7
"285" "170690" "ADAMTS16" 10 8 8 5 5 44 55 52 29 31
"286" "170691" "ADAMTS17" 23 12 23 24 17 12 19 17 13 12
"287" "170692" "ADAMTS18" 1 9 5 3 4 115 117 118 105 89
"288" "171019" "ADAMTS19" 14 12 13 20 12 4 7 12 10 4
"289" "9509" "ADAMTS2" 58 44 56 50 40 50 33 48 26 35
"290" "80070" "ADAMTS20" 7 4 2 12 2 2 0 1 1 1
"291" "9508" "ADAMTS3" 35 23 41 58 46 8 7 13 14 12
"292" "9507" "ADAMTS4" 37 36 35 39 26 253 250 240 192 131
"293" "11096" "ADAMTS5" 23 13 18 18 21 56 56 39 61 33
"294" "11174" "ADAMTS6" 14 11 19 33 19 5 6 3 5 2
"295" "11173" "ADAMTS7" 91 78 102 84 65 15 8 14 9 8
"296" "11095" "ADAMTS8" 4 3 5 3 3 53 70 70 53 42
"297" "56999" "ADAMTS9" 55 53 68 64 55 117 105 103 106 65
"298" "92949" "ADAMTSL1" 30 13 25 24 19 13 11 8 4 5
"299" "9719" "ADAMTSL2" 15 10 9 12 4 84 68 84 52 42
"300" "57188" "ADAMTSL3" 4 0 6 6 4 28 27 28 23 28
"301" "54507" "ADAMTSL4" 300 247 295 358 239 21 16 11 12 13
"302" "339366" "ADAMTSL5" 51 40 53 50 37 10 11 7 6 5
"303" "55803" "ADAP2" 13 5 7 5 5 15 8 14 7 17
"304" "103" "ADAR" 1367 1216 1506 1777 1475 1643 1599 1711 1339 1052
"305" "104" "ADARB1" 280 249 295 343 273 561 600 648 477 370
"306" "105" "ADARB2" 3 1 3 1 2 351 367 375 267 216
"308" "134637" "ADAT2" 159 165 163 221 194 32 42 42 31 29
"309" "113451" "ADC" 23 23 41 44 27 191 175 182 119 109
"310" "57143" "ADCK1" 55 43 61 55 39 67 58 54 50 31
"312" "79934" "ADCK4" 148 110 127 170 116 182 165 174 105 89
"313" "203054" "ADCK5" 68 60 55 56 63 75 56 59 42 35
"314" "107" "ADCY1" 458 434 515 591 519 1987 2010 2133 1575 1271
"315" "55811" "ADCY10" 0 0 3 7 3 7 9 5 7 6
"316" "108" "ADCY2" 7 5 14 13 5 598 576 651 483 397
"317" "109" "ADCY3" 165 112 139 192 134 247 214 237 161 151
"318" "111" "ADCY5" 22 19 13 12 16 551 578 632 429 351
"319" "112" "ADCY6" 268 211 297 306 242 359 371 377 285 240
"320" "113" "ADCY7" 117 108 137 122 94 28 32 34 30 17
"321" "114" "ADCY8" 19 18 26 26 28 93 101 92 90 55
"322" "115" "ADCY9" 162 134 177 193 177 274 279 261 226 154
"323" "116" "ADCYAP1" 2 2 4 3 4 83 53 75 65 45
"324" "117" "ADCYAP1R1" 4 4 9 5 4 704 727 754 575 459
"325" "118" "ADD1" 817 703 842 954 758 2185 2135 2432 1692 1356
"326" "119" "ADD2" 217 179 215 271 256 1117 1084 1221 946 695
"327" "120" "ADD3" 317 328 390 424 435 869 909 1037 785 764
"328" "125" "ADH1B" 1 1 0 2 4 20 13 10 9 10
"330" "127" "ADH4" 21 20 19 29 26 1 0 0 0 0
"331" "128" "ADH5" 462 439 513 639 533 261 248 284 199 205
"332" "642443" "ADH5P4" 39 29 38 38 34 13 7 12 8 16
"333" "130" "ADH6" 32 38 46 43 39 1 0 1 0 0
"334" "131" "ADH7" 0 0 0 0 1 0 0 0 0 0
"335" "55256" "ADI1" 244 211 232 282 246 190 171 196 154 111
"336" "149685" "ADIG" 0 1 0 0 0 0 0 0 0 0
"337" "9370" "ADIPOQ" 0 0 0 0 0 0 0 0 0 0
"338" "51094" "ADIPOR1" 582 465 644 760 634 403 390 429 284 243
"339" "79602" "ADIPOR2" 472 421 542 636 596 619 664 715 565 391
"341" "133" "ADM" 246 206 280 309 254 57 42 54 44 30
"342" "79924" "ADM2" 64 58 46 63 47 3 0 0 0 0
"343" "23394" "ADNP" 679 615 782 874 787 517 489 603 437 355
"344" "22850" "ADNP2" 222 173 233 279 234 131 123 135 107 83
"345" "84890" "ADO" 139 118 152 202 150 291 291 328 248 209
"346" "134" "ADORA1" 20 19 28 27 21 367 375 369 279 201
"347" "136" "ADORA2B" 43 39 57 44 43 35 32 36 32 23
"348" "137" "ADORA2BP1" 0 0 0 0 0 1 0 0 0 0
"349" "140" "ADORA3" 0 1 1 0 0 52 59 56 40 31
"350" "83440" "ADPGK" 362 298 376 429 367 137 149 132 95 93
"351" "141" "ADPRH" 17 16 17 14 21 13 12 14 10 9
"352" "113622" "ADPRHL1" 6 15 11 13 19 33 30 34 22 15
"353" "54936" "ADPRHL2" 175 140 157 178 169 123 113 109 84 69
"355" "148" "ADRA1A" 0 0 0 0 0 79 101 87 62 38
"356" "147" "ADRA1B" 5 3 2 8 2 62 63 68 41 27
"357" "146" "ADRA1D" 6 13 10 8 11 22 12 18 9 12
"358" "150" "ADRA2A" 1 5 4 7 1 49 56 50 52 37
"359" "151" "ADRA2B" 5 2 1 4 4 16 13 11 12 8
"360" "152" "ADRA2C" 77 60 87 82 51 38 39 30 25 14
"361" "153" "ADRB1" 9 7 8 11 8 79 56 74 46 37
"362" "154" "ADRB2" 11 6 12 14 15 12 6 6 6 10
"363" "155" "ADRB3" 2 1 0 0 0 0 1 0 0 0
"364" "156" "ADRBK1" 747 665 768 846 669 1171 1134 1207 890 621
"365" "11047" "ADRM1" 327 260 335 340 263 151 162 170 119 91
"366" "158" "ADSL" 404 292 455 460 400 77 94 107 86 65
"368" "122622" "ADSSL1" 151 95 103 124 122 35 37 44 23 26
"370" "165" "AEBP1" 928 777 882 1066 805 361 341 338 259 178
"371" "121536" "AEBP2" 165 152 203 193 200 154 130 138 105 96
"372" "64782" "AEN" 293 253 283 342 239 60 47 62 43 40
"373" "166" "AES" 1328 1052 1218 1402 1026 4361 4252 4281 3253 2381
"374" "171560" "AF357530" 179 212 192 273 260 52 60 62 48 38
"375" "60312" "AFAP1" 213 170 228 255 217 231 202 225 156 129
"377" "134265" "AFAP1L1" 81 65 94 96 66 28 31 25 28 13
"378" "84632" "AFAP1L2" 26 27 34 42 38 237 253 283 189 169
"380" "4299" "AFF1" 386 352 455 471 461 215 222 218 174 152
"381" "2334" "AFF2" 16 17 15 24 23 175 200 215 183 124
"382" "3899" "AFF3" 106 88 85 105 116 405 380 434 349 272
"383" "27125" "AFF4" 413 370 479 603 523 659 612 739 578 507
"385" "10939" "AFG3L2" 289 272 338 341 301 211 179 209 142 126
"386" "347028" "AFG3L2P1" 16 8 12 17 9 7 11 16 6 10
"387" "173" "AFM" 0 0 0 1 2 0 0 0 0 0
"389" "174" "AFP" 3023 2730 3439 3800 3415 1 1 2 1 6
"390" "54812" "AFTPH" 151 137 163 153 162 337 323 425 310 263
"391" "175" "AGA" 75 72 83 57 68 41 51 59 45 40
"392" "116987" "AGAP1" 158 134 175 187 153 467 467 489 347 303
"393" "116986" "AGAP2" 27 20 21 22 30 1672 1575 1737 1239 801
"394" "116988" "AGAP3" 693 512 595 706 478 1985 1795 1874 1397 914
"395" "119016" "AGAP4" 23 19 28 34 31 44 39 48 39 26
"396" "414189" "AGAP6" 90 76 111 129 112 70 65 71 66 52
"397" "653268" "AGAP7" 10 12 18 14 14 9 9 7 2 7
"398" "123624" "AGBL1" 0 0 1 0 0 1 0 0 0 0
"399" "79841" "AGBL2" 11 9 15 16 14 8 6 3 7 3
"400" "340351" "AGBL3" 25 16 32 22 32 35 28 29 25 16
"401" "84871" "AGBL4" 0 0 0 1 1 45 32 48 34 23
"402" "60509" "AGBL5" 254 231 294 325 271 119 126 126 92 71
"403" "3267" "AGFG1" 361 323 425 493 470 395 426 516 373 365
"405" "55109" "AGGF1" 185 167 229 264 235 219 215 234 154 139
"406" "100132380" "AGGF1P1" 1 0 0 0 0 0 1 0 0 0
"407" "55750" "AGK" 60 68 73 70 58 58 59 69 57 38
"408" "178" "AGL" 137 129 176 208 208 202 174 231 179 150
"409" "79814" "AGMAT" 92 76 107 121 119 10 10 10 7 5
"410" "10554" "AGPAT1" 111 98 84 125 92 100 94 104 48 51
"411" "10555" "AGPAT2" 262 214 223 265 200 44 36 50 34 17
"412" "56894" "AGPAT3" 442 396 451 553 436 895 912 909 677 566
"413" "56895" "AGPAT4" 91 68 91 103 93 419 414 459 388 306
"414" "55326" "AGPAT5" 332 302 381 478 406 227 248 294 207 192
"415" "137964" "AGPAT6" 580 435 522 631 525 587 484 609 493 374
"416" "84803" "AGPAT9" 50 39 49 68 61 34 33 35 22 26
"417" "123688" "AGPHD1" 10 14 12 14 16 13 8 6 5 10
"418" "8540" "AGPS" 395 330 445 503 457 195 180 195 151 171
"419" "10551" "AGR2" 149 106 133 182 170 0 0 0 1 0
"420" "155465" "AGR3" 10 8 12 14 10 0 0 0 0 0
"421" "375790" "AGRN" 2119 1679 1788 2048 1552 674 594 598 456 304
"422" "181" "AGRP" 1 0 0 0 0 3 0 2 0 0
